company_ticker,date,closing_price
AAPL,1989-09-19,1.54
AAPL,1989-09-20,1.59
AAPL,1989-09-21,1.6
AAPL,1989-09-22,1.6
AAPL,1989-09-25,1.62
AAPL,1989-09-26,1.62
AAPL,1989-09-27,1.6
AAPL,1989-09-28,1.63
AAPL,1989-09-29,1.59
AAPL,1989-10-02,1.58
AAPL,1989-10-03,1.56
AAPL,1989-10-04,1.58
AAPL,1989-10-05,1.63
AAPL,1989-10-06,1.72
AAPL,1989-10-09,1.77
AAPL,1989-10-10,1.77
AAPL,1989-10-11,1.75
AAPL,1989-10-12,1.74
AAPL,1989-10-13,1.63
AAPL,1989-10-16,1.67
AAPL,1989-10-17,1.69
AAPL,1989-10-18,1.72
AAPL,1989-10-19,1.74
AAPL,1989-10-20,1.71
AAPL,1989-10-23,1.67
AAPL,1989-10-24,1.7
AAPL,1989-10-25,1.66
AAPL,1989-10-26,1.62
AAPL,1989-10-27,1.62
AAPL,1989-10-30,1.63
AAPL,1989-10-31,1.66
AAPL,1989-11-01,1.65
AAPL,1989-11-02,1.57
AAPL,1989-11-03,1.54
AAPL,1989-11-06,1.54
AAPL,1989-11-07,1.57
AAPL,1989-11-08,1.61
AAPL,1989-11-09,1.64
AAPL,1989-11-10,1.67
AAPL,1989-11-13,1.66
AAPL,1989-11-14,1.6
AAPL,1989-11-15,1.58
AAPL,1989-11-16,1.6
AAPL,1989-11-17,1.6
AAPL,1989-11-20,1.62
AAPL,1989-11-21,1.62
AAPL,1989-11-22,1.6
AAPL,1989-11-24,1.6
AAPL,1989-11-27,1.57
AAPL,1989-11-28,1.58
AAPL,1989-11-29,1.57
AAPL,1989-11-30,1.58
AAPL,1989-12-01,1.57
AAPL,1989-12-04,1.62
AAPL,1989-12-05,1.61
AAPL,1989-12-06,1.53
AAPL,1989-12-07,1.53
AAPL,1989-12-08,1.49
AAPL,1989-12-11,1.4
AAPL,1989-12-12,1.29
AAPL,1989-12-13,1.29
AAPL,1989-12-14,1.25
AAPL,1989-12-15,1.21
AAPL,1989-12-18,1.24
AAPL,1989-12-19,1.25
AAPL,1989-12-20,1.28
AAPL,1989-12-21,1.29
AAPL,1989-12-22,1.3
AAPL,1989-12-26,1.27
AAPL,1989-12-27,1.25
AAPL,1989-12-28,1.24
AAPL,1989-12-29,1.26
AAPL,1990-01-02,1.33
AAPL,1990-01-03,1.34
AAPL,1990-01-04,1.34
AAPL,1990-01-05,1.35
AAPL,1990-01-08,1.36
AAPL,1990-01-09,1.34
AAPL,1990-01-10,1.29
AAPL,1990-01-11,1.23
AAPL,1990-01-12,1.23
AAPL,1990-01-15,1.22
AAPL,1990-01-16,1.25
AAPL,1990-01-17,1.19
AAPL,1990-01-18,1.16
AAPL,1990-01-19,1.22
AAPL,1990-01-22,1.19
AAPL,1990-01-23,1.21
AAPL,1990-01-24,1.21
AAPL,1990-01-25,1.22
AAPL,1990-01-26,1.17
AAPL,1990-01-29,1.19
AAPL,1990-01-30,1.21
AAPL,1990-01-31,1.21
AAPL,1990-02-01,1.2
AAPL,1990-02-02,1.22
AAPL,1990-02-05,1.25
AAPL,1990-02-06,1.24
AAPL,1990-02-07,1.19
AAPL,1990-02-08,1.18
AAPL,1990-02-09,1.22
AAPL,1990-02-12,1.21
AAPL,1990-02-13,1.23
AAPL,1990-02-14,1.22
AAPL,1990-02-15,1.22
AAPL,1990-02-16,1.21
AAPL,1990-02-20,1.2
AAPL,1990-02-21,1.21
AAPL,1990-02-22,1.18
AAPL,1990-02-23,1.19
AAPL,1990-02-26,1.21
AAPL,1990-02-27,1.2
AAPL,1990-02-28,1.21
AAPL,1990-03-01,1.22
AAPL,1990-03-02,1.21
AAPL,1990-03-05,1.23
AAPL,1990-03-06,1.26
AAPL,1990-03-07,1.26
AAPL,1990-03-08,1.31
AAPL,1990-03-09,1.32
AAPL,1990-03-12,1.31
AAPL,1990-03-13,1.32
AAPL,1990-03-14,1.32
AAPL,1990-03-15,1.31
AAPL,1990-03-16,1.44
AAPL,1990-03-19,1.51
AAPL,1990-03-20,1.48
AAPL,1990-03-21,1.49
AAPL,1990-03-22,1.46
AAPL,1990-03-23,1.51
AAPL,1990-03-26,1.51
AAPL,1990-03-27,1.5
AAPL,1990-03-28,1.47
AAPL,1990-03-29,1.47
AAPL,1990-03-30,1.44
AAPL,1990-04-02,1.44
AAPL,1990-04-03,1.49
AAPL,1990-04-04,1.47
AAPL,1990-04-05,1.44
AAPL,1990-04-06,1.42
AAPL,1990-04-09,1.47
AAPL,1990-04-10,1.47
AAPL,1990-04-11,1.52
AAPL,1990-04-12,1.54
AAPL,1990-04-16,1.56
AAPL,1990-04-17,1.54
AAPL,1990-04-18,1.54
AAPL,1990-04-19,1.44
AAPL,1990-04-20,1.44
AAPL,1990-04-23,1.42
AAPL,1990-04-24,1.38
AAPL,1990-04-25,1.38
AAPL,1990-04-26,1.39
AAPL,1990-04-27,1.4
AAPL,1990-04-30,1.41
AAPL,1990-05-01,1.42
AAPL,1990-05-02,1.42
AAPL,1990-05-03,1.43
AAPL,1990-05-04,1.43
AAPL,1990-05-07,1.48
AAPL,1990-05-08,1.49
AAPL,1990-05-09,1.5
AAPL,1990-05-10,1.48
AAPL,1990-05-11,1.52
AAPL,1990-05-14,1.49
AAPL,1990-05-15,1.49
AAPL,1990-05-16,1.49
AAPL,1990-05-17,1.48
AAPL,1990-05-18,1.42
AAPL,1990-05-21,1.41
AAPL,1990-05-22,1.48
AAPL,1990-05-23,1.5
AAPL,1990-05-24,1.5
AAPL,1990-05-25,1.43
AAPL,1990-05-29,1.46
AAPL,1990-05-30,1.48
AAPL,1990-05-31,1.47
AAPL,1990-06-01,1.46
AAPL,1990-06-04,1.46
AAPL,1990-06-05,1.41
AAPL,1990-06-06,1.41
AAPL,1990-06-07,1.39
AAPL,1990-06-08,1.37
AAPL,1990-06-11,1.39
AAPL,1990-06-12,1.45
AAPL,1990-06-13,1.42
AAPL,1990-06-14,1.42
AAPL,1990-06-15,1.41
AAPL,1990-06-18,1.4
AAPL,1990-06-19,1.42
AAPL,1990-06-20,1.43
AAPL,1990-06-21,1.5
AAPL,1990-06-22,1.48
AAPL,1990-06-25,1.47
AAPL,1990-06-26,1.45
AAPL,1990-06-27,1.48
AAPL,1990-06-28,1.54
AAPL,1990-06-29,1.6
AAPL,1990-07-02,1.57
AAPL,1990-07-03,1.57
AAPL,1990-07-05,1.55
AAPL,1990-07-06,1.6
AAPL,1990-07-09,1.67
AAPL,1990-07-10,1.68
AAPL,1990-07-11,1.68
AAPL,1990-07-12,1.69
AAPL,1990-07-13,1.67
AAPL,1990-07-16,1.63
AAPL,1990-07-17,1.58
AAPL,1990-07-18,1.59
AAPL,1990-07-19,1.49
AAPL,1990-07-20,1.46
AAPL,1990-07-23,1.48
AAPL,1990-07-24,1.5
AAPL,1990-07-25,1.51
AAPL,1990-07-26,1.48
AAPL,1990-07-27,1.48
AAPL,1990-07-30,1.51
AAPL,1990-07-31,1.5
AAPL,1990-08-01,1.51
AAPL,1990-08-02,1.55
AAPL,1990-08-03,1.47
AAPL,1990-08-06,1.41
AAPL,1990-08-07,1.41
AAPL,1990-08-08,1.43
AAPL,1990-08-09,1.41
AAPL,1990-08-10,1.38
AAPL,1990-08-13,1.42
AAPL,1990-08-14,1.42
AAPL,1990-08-15,1.4
AAPL,1990-08-16,1.38
AAPL,1990-08-17,1.3
AAPL,1990-08-20,1.31
AAPL,1990-08-21,1.29
AAPL,1990-08-22,1.25
AAPL,1990-08-23,1.23
AAPL,1990-08-24,1.27
AAPL,1990-08-27,1.35
AAPL,1990-08-28,1.36
AAPL,1990-08-29,1.33
AAPL,1990-08-30,1.29
AAPL,1990-08-31,1.32
AAPL,1990-09-04,1.32
AAPL,1990-09-05,1.29
AAPL,1990-09-06,1.28
AAPL,1990-09-07,1.3
AAPL,1990-09-10,1.28
AAPL,1990-09-11,1.21
AAPL,1990-09-12,1.21
AAPL,1990-09-13,1.21
AAPL,1990-09-14,1.21
